{-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1},
{0,0,41,1,1,0,1,1,35,35,35,35,35,35,35,1,0,1,1,1,1,1,1,0,41,1,1,1,1,1,1,40,0,0},
{0,41,9,1,1,0,1,1,1,1,1,1,1,1,34,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,40,0},
{0,1,0,1,1,0,1,1,1,1,1,1,1,1,34,1,0,1,23,1,1,31,1,0,1,1,1,24,27,1,1,1,1,0},
{0,45,0,10,10,0,1,1,33,33,33,33,33,33,33,1,0,1,1,1,1,1,1,0,1,1,1,26,25,1,1,1,1,0},
{0,45,0,14,14,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0},
{0,45,1,1,1,18,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0},
{0,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,0,0,1,1,0,0,41,1,1,1,1,1,1,1,1,1,0},
{0,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0},
{0,45,1,1,1,1,1,1,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0},
{0,45,1,1,1,1,1,47,0,45,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0},
{0,45,1,1,1,1,1,1,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,0},
{0,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0},
{0,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,0},
{0,45,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0},
{0,45,1,19,1,20,1,21,1,22,1,1,0,0,0,0,0,0,0,42,48,1,1,1,1,1,1,1,1,1,16,1,1,0},
{0,45,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0},
{0,45,1,1,1,1,1,1,1,1,1,1,12,1,1,1,17,1,1,0,41,1,1,1,1,1,1,1,1,1,1,1,40,0},
{0,42,1,1,2,1,6,1,1,1,1,1,0,1,1,17,1,1,1,0,1,1,44,1,45,1,1,1,1,1,17,1,1,0},
{0,0,42,1,1,1,1,1,1,28,1,1,0,42,1,1,1,1,43,0,42,1,1,1,1,1,1,1,1,1,1,1,43,0},
{-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
}
